"","Dim1","Dim2","Dim3","Dim4","Dim5","Dim6","Dim7","Dim8","Dim9","Dim10","Dim11","Dim12"
"1",-39.960999471605,-31.1190249313175,-1.6207887585443,6.24602505575192,4.34202704791864,-4.91090556822718,11.022252686536,7.413255190856,-10.9898374876156,-13.8214115655983,0.938596860478652,-5.77282518163632
"2",-37.2067262042758,-33.6502839179535,-5.09000766766136,5.33568884395397,3.09074814808957,-5.62427146914392,12.3006043429226,9.30201668738748,-7.10039831341993,-11.8814841224626,3.01128834745436,-5.18338089059953
"3",-33.7799483392647,-33.1980993572982,-0.827690278516915,6.57730137361965,5.99457897734883,0.256939945617363,10.9296017270284,11.8772111125421,-5.02611577441271,-11.754418974727,1.60979918214656,-1.88531904986263
"5",-36.2001738983114,-34.3335905891518,-4.93448739632152,5.84864902678173,3.43173479814709,-5.30329627868868,12.0082870992445,9.43091791641534,-6.42294320329323,-10.7865313404756,3.49342528194116,-5.16426953540549
"6",-36.6912401326219,-33.2611852269613,-4.64823610615308,5.19065907975789,3.1059538524902,-5.48418217647852,12.2253429442976,9.56716507386377,-7.08746326758851,-11.596284055459,2.90149099825301,-4.94836308717314
"8",-31.6604412246841,-35.841693661273,-3.04697375765454,7.89276463745996,10.2139998043248,4.54463431596491,2.44610046456867,7.62380807299928,-7.92963882937022,-12.061170848638,5.09967716198127,-2.94715722719082
"10",-32.6445228975804,-34.6337789588223,1.30063254586037,8.18795323946791,10.9074261565429,2.46421100399548,6.1122343348526,13.4924468052294,-5.25434742912575,-13.8075431242395,2.56802818230347,-2.30822510392933
"11",-33.8467184133225,-32.0987665306943,-0.526456667145273,6.52270085555472,9.77565597337815,3.11832305757681,2.45123987382523,6.22446232930376,-11.0661961356486,-13.7308871507069,4.26010801623322,-3.66449697071048
"12",-37.0551066988262,-34.1445771213198,-4.35061376995395,5.94925714425265,3.48499665986758,-4.93046779938764,11.6685193877783,8.70473750571426,-7.59731164409131,-11.7365421835875,2.86726530583721,-5.48608097844244
"13",-33.6370201197711,-26.5704845240239,-5.65467026430709,2.20313448278767,-0.353088332803295,-5.48575164232626,13.909315328998,12.8498189760035,0.575324332514594,-9.88417466967369,1.95400527668239,1.49744940110594
"14",-31.6186719702605,-35.0329551933456,-3.37501198244929,7.10339458270025,9.65161637160401,4.01408959583892,3.43380680159987,7.63489232130993,-8.41478677243599,-12.238095258205,5.28281119373199,-2.95432429378032
"15",-38.5746301207664,-31.1438503488516,-1.64674120334652,6.11053602615885,4.13356138988837,-4.82309792497864,10.7883414863873,6.96948663266113,-10.8048557656975,-13.0447738912971,1.29606080428916,-5.85357461485443
"16",-31.8957169438563,-34.0475887759942,-3.71366969658225,5.99196279968656,8.78569340325429,2.5059645829757,4.13189315492406,8.68212247006218,-7.46584599646359,-12.126481094161,5.81438056729611,-2.51436071661877
"19",20.2091843394516,23.0923211726597,-4.03827229456234,5.23688609584489,15.3765181763334,1.61805114371,0.53403319251538,-7.58229581539197,-1.29502430218338,2.35430059452285,-6.53718598216951,3.74983067624878
"20",28.8426858605379,15.4008711260207,-2.92609536597253,1.70378883118516,14.8240546712365,-7.27181761380693,6.0892926609448,-5.34138412139547,-12.0813821196644,-1.55397694983635,-6.04744980476835,6.13772725807724
"21",21.0794338164019,16.6518373542097,-2.93762428136406,5.87692085064899,11.8747420708382,-9.84082226573878,2.73728956103898,-3.54350084208976,-4.98434377575168,-1.22954546292585,-7.11157489309318,3.51907643782863
"22",23.3523939712572,14.3596365104708,-6.236982560962,5.59317717279427,11.6227784753107,-7.16644553141705,2.65593476346789,-4.60123356662862,-4.43889954378677,-4.4176019469302,-6.88072456518638,6.40173992822502
"23",21.0509405450674,22.9987287133182,-5.49763338385387,6.05582214573374,14.54334438368,3.66104615265798,-1.54536805270776,-8.60564524346901,-2.03153792075233,2.20611930130096,-5.31215368583807,3.78398463709591
"24",17.4993902652672,0.83246621078168,-6.69319972697093,2.87223661983562,8.07715287011489,-5.85754024766276,2.26763185581368,0.87162403216063,3.63260895286903,-4.83214608545359,-15.5764840014814,1.78963724624296
"25",18.6435184456998,14.5840757141721,-3.48499617115024,4.17865365572346,15.32214238231,0.467352285911965,3.99834138015395,-7.96198329631873,-1.18718528826636,0.399065813372378,-6.53008762546585,1.79452048207503
"26",23.4934355233254,20.2121274470994,-3.54698624513788,4.13496107034661,16.0491217944404,-3.65308884893105,2.65327436773605,-5.98412005729196,-4.184476950168,1.02731212937805,-6.0274140671679,1.229449946641
"27",20.8665629708655,16.6500348736024,-1.7229054214822,6.6240610696545,15.4704672992636,-6.46553132878556,1.76928283139982,-6.32474710176644,-2.87288969056218,-0.756921406863271,-7.49418218473872,4.38603887106399
"28",22.1093973263647,12.6509826071655,-5.65563192887884,5.65711156370895,9.77030959454887,-11.3349211738662,2.01572299731601,-1.61849408519826,-3.58042049354205,-6.63106475191028,-10.5611754140795,6.09882721590196
"30",21.797516620243,9.41098854813055,-5.35575882912386,4.95544770647482,8.73219329366377,-9.3105559754756,0.570268718823872,-1.4297151873285,-1.59793106334104,-6.76189754239422,-11.2790907973497,0.535829294308912
"31",19.597524173033,11.4721272678429,-8.51620360240465,1.43236080677332,7.73947420223635,-11.8996598660891,2.09330875070512,0.25509494465699,-4.00710780167197,-3.1904020617346,-11.6459412419591,4.57992084342681
"32",22.6830977858613,19.9455765932917,-1.9703894901001,5.38527187204961,14.812217471177,-6.53523476505836,2.57930043623096,-6.36820519232554,-5.83570198182134,1.47328609138097,-6.39222491770389,2.7761618861038
"33",8.11953381822931,-8.24181649614134,-3.08950566520811,-3.51754591686171,-5.13595941178216,4.4865947336342,-4.24499304347784,1.67858768274166,1.7473769868475,-4.77935203109326,4.29027848246781,-2.39442734196148
"34",9.26631614209614,-5.82319554748733,-0.968442167217912,-2.82345682435731,1.03096763874447,1.87658543990053,-1.08592374146196,-3.87590212907777,1.16627631548483,-3.21567164306568,5.30040251851648,-2.74095821077308
"35",10.3065328333031,-8.39923473981155,-2.2461423452795,-2.09924976090203,-0.430943889831966,2.1043750302234,-3.01635305556838,-1.94985262701534,4.66149876081537,-1.89138485659537,3.27423832646266,-3.68836945665134
"36",7.53711445455549,-7.3122618457492,-0.358667092773369,-1.11964901888108,-6.51647506027987,0.635242800002146,-1.90297180854444,1.55727491383423,1.33812069748216,-5.02854309558081,3.37167731189815,-2.58485151374137
"37",4.60372926646523,-10.4621069538374,0.611972231658661,0.1629120546074,-3.45967749996187,1.66211828187441,-7.18836706457092,0.731979190900245,0.937527223016675,-2.87160008137865,5.2329961194735,1.30481295345284
"38",4.78217160736245,-10.267194027896,0.108255332514353,-3.92193046929829,-0.927929450593478,2.34721955750215,-2.13763968550089,0.214734189881914,4.1144941330268,-2.63096810707044,4.67159635704363,-0.690769994921933
"40",8.68282946467895,-8.97062827497799,-0.970402384850636,-3.82968637584632,-1.0796299705999,4.33798491765534,-3.21115053612394,0.0570841327894236,3.70768412023248,-0.638668788346572,5.09892795980416,-1.260914212348
"41",9.52984332541119,-9.45925212733914,-2.66827788914307,-3.60794400435562,-2.27055736495115,4.38669401997776,-4.30392436205792,-0.995425909213144,5.53049768959914,-2.45301704017797,4.56146484968563,-4.22628096195153
"42",6.61270062914277,-9.13477061053694,0.50086552151549,-6.1154349438826,-2.71013136552439,2.48311313597544,-4.17073122247995,-0.0227469912821991,4.51337653344137,-0.221237464935229,1.99600760889083,-1.53904130420062
"44",11.7647266819027,-8.46622730313177,-1.78430585003851,-3.10397974482071,-1.63787649167455,6.17721155953779,-0.830990038353624,-1.99062040924931,5.85344638233267,1.05452887142021,6.12522147579943,-3.32765663102271
"45",8.6087322207319,-9.50056817389144,-3.55702549225368,-4.94330514008516,-3.57841344344472,3.42363076211948,-2.78966588367278,1.1904511912713,4.33632786237761,-2.31476814813967,4.13207458435235,-2.51857225586322
"47",9.31028764149918,-6.74156886766414,-3.61768552738784,-3.17563949075463,-3.25945833654925,5.34213058718643,-4.58395976242931,0.555687177745409,1.93086777914396,-3.50330447040775,4.6112232277306,-2.39179461217631
"48",6.19697827358042,-11.7484617365735,-1.83051914210772,-1.17287944877615,0.887482321696696,2.99500516458275,-2.15099955770881,-0.867831036496273,4.19171405102066,-4.13757645456772,3.77292043975643,-2.54548031010559
"49",-45.8245227812556,-31.7121178289699,0.733111284751872,16.0901544596963,18.7226250746042,-4.20057949197928,16.211088557031,21.8153180478735,-0.156135575067214,-1.15313979341299,4.81141188468401,-3.07279097712833
"52",-44.8464315110815,-30.4932558486934,2.2621183331081,16.8340353592349,19.9282284039505,-2.49195946511988,14.2174117000785,21.7121797415972,0.745002646142608,-0.685871295456328,4.4281271916945,-2.26235537958861
"53",-37.0570060994765,-34.6328720597534,5.59395394750233,18.5857966688973,20.8374981978127,3.42545568521808,0.571092293717205,15.7670971872822,2.8794087821017,4.05290717651922,-1.96675102776384,-1.36689535131626
"54",-43.9697068069637,-32.8832367254021,3.62941274568559,17.2636794978472,20.4664515515601,1.57368801730702,9.74305658206412,22.9062217198446,1.30905314087293,-3.28321352078432,7.37117269466996,-2.59231769394146
"55",-44.9510878481006,-31.4271343259033,1.66319715083599,16.2465886112383,19.3295432917479,-2.87492897047512,15.0921359700126,22.0268129477227,0.428156061927298,-1.26670067904564,3.98529302622049,-2.75792421819999
"56",-37.3006468539373,-34.1885527354976,5.81261220716415,18.6595468444425,21.0124621089238,3.215110043949,0.723885609163172,15.8161856816289,2.76389024893476,4.0742518664992,-1.67691035317783,-1.46474461581072
"57",-45.3871335998356,-29.7434083372081,1.5575208460728,16.3689739506645,19.1121614236584,-4.76446826820513,15.997752492522,20.9431497575311,-0.130160605713074,-0.306615318128484,5.28504585070488,-2.47220509172869
"58",-44.7830258556079,-28.8174269738967,5.24833926251876,18.7734894885353,21.8401901407549,-0.312000467622052,9.78178433719001,21.4252336994926,2.25534826441219,-1.86252877069646,8.97077956814031,-2.18223692932874
"60",-45.7103161495303,-31.5590667799344,1.90987661811477,17.1587208492262,20.2737104738944,-2.18949258131791,14.4512185833862,22.5240089740119,1.06562363650341,-1.00620649909933,4.33087941912433,-2.39063879978658
"61",-36.9297237213289,-33.4205934651869,6.11358303157185,18.4657224504522,20.868327774494,2.83480959433377,0.53525413352736,15.5820517097775,2.72975960575689,4.40243277434943,-1.47640180128558,-1.46637895348286
"62",-45.7831420489462,-18.1276702706512,9.32036908000997,24.8051920873175,26.1948970980334,-3.71636995925518,6.1785878589782,15.7295509156916,4.18348703381139,5.27583786309682,7.32991269036389,-0.309597677763318
"63",-37.6449371128896,-33.5341187185968,6.13585312971151,18.8236610456396,21.3036061650915,2.87321735665999,0.860605907254513,15.8797719972521,2.66993902792672,4.1403477472244,-1.25738202426597,-1.51559399581314
"64",-44.894161634336,-30.4967994955508,2.49759430987147,17.2214642679631,20.2987912190045,-1.87589833127954,13.4922269420204,21.7759342577697,1.06154131589735,-0.548543073307276,4.53286286066105,-2.05964365705639
"66",-22.5376762897075,26.0219924956348,6.79878871265152,12.7522925793473,10.9254518738057,5.15170212672057,2.44708397443651,16.2138780358149,-2.4989230313393,4.21471937592878,-2.62992001614035,-0.635833195390972
"67",-27.4118708813822,24.7972119097284,5.93871258375123,8.48068873395035,15.9561967021873,-1.56903277818067,5.87403232045279,13.583258416461,-3.96262404329785,7.74992865650477,2.879858352967,-4.18825140469964
"68",-24.4131959131923,25.7130437988707,6.28117954438434,7.98824642766736,14.6439550626812,0.701228855909744,6.79763303037922,14.025977141093,-4.20770628122574,5.53431990041288,0.774677342356832,-4.49976016052012
