"","Dim1","Dim2","Dim3","Dim4","Dim5","Dim6","Dim7","Dim8","Dim9","Dim10","Dim11","Dim12","Dim13","Dim14","Dim15","Dim16","Dim17","Dim18","Dim19","Dim20","Dim21","Dim22"
"1",-30.4294695949462,-17.650604488326,2.51144098838594,1.35251558582545,-3.62710000462767,-7.93484887108926,-3.04980385627117,7.22575477675588,4.77515076213606,4.12342693946429,4.80774185116012,-2.5582310487889,-4.55935100235117,8.27852865577444,-1.79567255707398,-9.32212826152699,3.19413475955967,3.40117315191651,0.676403727739954,1.78979616580844,4.33556187093644,-1.00744525992308
"2",-24.9593326187789,-14.4868971153405,-0.277096571390558,0.696038031403481,0.482618147975794,-7.54544205731384,-2.05298188604013,4.35327419031096,7.76867591343973,7.21101002255614,-2.2797747347612,-0.723854714344601,-3.56088864978185,8.02453292264641,-3.09998990504403,-8.47297403165919,4.53270025014245,-0.758151008274166,-1.19015636208036,4.97721501620129,6.53017480372803,-0.926634848420059
"3",-29.3393764642424,-17.8564288376572,3.98228731436698,1.448881029563,-5.69601712248364,-6.19696125600657,-2.65759000315887,6.77344770317673,4.23774550329065,3.31812229490057,4.29628559657311,-2.8383098200312,-3.6855170589611,6.28087346105315,-3.12525211384882,-7.45003034827651,2.71775215041346,3.18561712024401,1.9424469710495,-1.2829383101177,2.65798250185895,-2.37503894916143
"5",-28.5012132810206,-19.1432366496855,3.22967537153645,0.215031754307442,-5.51896234510731,-6.57498874091401,-1.6179683055151,6.48109162729423,7.75913196492877,5.8673650325705,1.05571730578077,-1.78499546566661,-5.15519464021808,6.16162722617881,-5.12445277882903,-6.74536970796134,3.4502139886372,1.69678238800475,4.74382821047643,-1.03636624709346,1.75027131471835,-1.59331667179622
"6",-26.0005196426316,-14.70231558973,0.850877446510413,1.47366258431808,-0.26358533682585,-8.14045993882222,-2.05006774067151,5.00974694328837,6.72227909934146,5.56455166260262,-1.00837865354912,-1.11057106795748,-3.05672482272922,8.22669677992592,-2.00880566467069,-8.87831983987695,3.52228776682027,-0.883639167841749,-1.07115343733229,3.45641681300401,5.47318277518967,-1.52332625645028
"8",-24.8893591254937,-14.7612013697361,-0.807319179190215,0.287303395904323,0.257339271200347,-7.55296126611294,-1.63956068328259,3.84789826719839,7.57167087813246,7.82533506619484,-2.41160600680316,0.144798523132793,-4.54979691250533,8.07587675703427,-3.26134107675766,-8.56597027429779,4.68374119942343,-1.17048575021778,-1.59881929342023,4.30970454633911,7.48223354773461,-0.315553620824189
"10",-28.7827672259671,-19.1166960381118,3.75591339104493,0.678113199507656,-6.37940626676303,-4.95941312070152,-2.22892897069956,6.99273084719751,5.65966275778556,3.91239110297866,3.75934174106964,-2.15243715687657,-6.55409947224638,6.82645819931808,-4.03815968769674,-6.24750263027079,3.58552534768692,4.74984353042135,1.61276265213623,-1.03532674479137,3.71282906603901,-1.20163752983438
"11",-25.6996657901457,-14.3022216194356,0.884482079196613,0.645343204382766,0.0849268571045317,-7.45039412458589,-2.37281105903069,4.82065796104546,6.05965148074495,5.6470198043928,-0.553232853493274,-0.795266195218215,-4.55138003130933,8.96330461228801,-1.4922479732698,-9.49144759466811,3.45641882348095,0.0353544531469087,-2.30220381351384,3.90047799643224,6.13817430134912,-0.357073643072563
"12",-25.072748843275,-14.1291447338671,0.509280094627244,0.790114410892415,0.58029733058994,-7.66767454444638,-2.33300535904418,4.92095517792787,6.96278073697117,6.4869910931635,-1.56510763092162,-0.447901736209816,-3.65648367743282,8.93054087524117,-2.24915902159982,-8.87624197768598,3.79947665165738,-0.475949444845073,-2.26001474305744,4.13450082833855,6.29299703455716,-0.635100963045559
"13",-25.3223425155575,-19.8729467608354,3.47104587217017,0.0834157395862486,3.70854583827025,-4.86326357072432,-2.62706846040022,6.54605305261548,4.73815043083383,3.90467225680251,1.79388789393642,-4.44327779027174,4.19882039829735,5.0635921711385,-5.7752302568276,-4.62664563045026,2.59535413076025,2.06953879412988,0.379099452648907,2.10477102519912,2.04931040816936,-1.29634490530295
