"","k_nn","d","residual_variance"
"1",13,2,0.576437094704827
"2",18,2,0.542630002218512
"3",23,2,0.519730632015127
"4",28,2,0.519780246644938
"5",33,2,0.514701673858485
"6",38,2,0.501850806227105
"7",43,2,0.481396709100318
"8",48,2,0.482211084497793
"9",53,2,0.470148103155204
"10",58,2,0.459882768703091
"11",63,2,0.452579108250417
"12",13,12,0.479447835874971
"13",18,12,0.434358760162987
"14",23,12,0.402463276647239
"15",28,12,0.395015474300651
"16",33,12,0.392588087348083
"17",38,12,0.374846323538362
"18",43,12,0.347782307825129
"19",48,12,0.343128465510346
"20",53,12,0.325409749973821
"21",58,12,0.314476839391252
"22",63,12,0.305220304416235
"23",13,22,0.462755191587757
"24",18,22,0.421134726919316
"25",23,22,0.385035025920013
"26",28,22,0.380936293036723
"27",33,22,0.374158023453039
"28",38,22,0.353397942482214
"29",43,22,0.324601516129449
"30",48,22,0.316756792477364
"31",53,22,0.298204861688634
"32",58,22,0.290454963300273
"33",63,22,0.282804886834964
"34",13,32,0.462906437831621
"35",18,32,0.414219689197085
"36",23,32,0.379035948681859
"37",28,32,0.371151602796126
"38",33,32,0.365174525217659
"39",38,32,0.343995487548483
"40",43,32,0.316869717213242
"41",48,32,0.309711705682474
"42",53,32,0.293540738921872
"43",58,32,0.281977393368423
"44",63,32,0.272816508942588
"45",13,42,0.461847684579525
"46",18,42,0.412309109434193
"47",23,42,0.376184331156118
"48",28,42,0.368985145871902
"49",33,42,0.360462418040197
"50",38,42,0.340149330459521
"51",43,42,0.313980991290074
"52",48,42,0.306674782126276
"53",53,42,0.289267302314237
"54",58,42,0.278589743304463
"55",63,42,0.269796881569197
"56",13,52,0.46244279940408
"57",18,52,0.412114283239822
"58",23,52,0.375200677018114
"59",28,52,0.367854891243966
"60",33,52,0.358572079210126
"61",38,52,0.338712787867888
"62",43,52,0.311201410572148
"63",48,52,0.304837213870478
"64",53,52,0.288764958583047
"65",58,52,0.277714635068076
"66",63,52,0.268541949766977
"67",13,62,0.463180787855069
"68",18,62,0.411875378593289
"69",23,62,0.374622675336765
"70",28,62,0.366784627602799
"71",33,62,0.357113495254126
"72",38,62,0.337943556054669
"73",43,62,0.311904161078264
"74",48,62,0.305858187583935
"75",53,62,0.289314451152748
"76",58,62,0.277033194638255
"77",63,62,0.268305753343105
"78",13,72,0.463760098299724
"79",18,72,0.412092575419684
"80",23,72,0.374771254567943
"81",28,72,0.366493615509854
"82",33,72,0.357042182573022
"83",38,72,0.33718473388143
"84",43,72,0.311879889321402
"85",48,72,0.306706427139218
"86",53,72,0.289352413965896
"87",58,72,0.276740073465071
"88",63,72,0.269258506763316
"89",13,82,0.464567844782676
"90",18,82,0.412523472850132
"91",23,82,0.375042060648744
"92",28,82,0.366914347040613
"93",33,82,0.357732947209027
"94",38,82,0.337613552035513
"95",43,82,0.312384421165835
"96",48,82,0.306693235968531
"97",53,82,0.290008177970373
"98",58,82,0.27723703757881
"99",63,82,0.269307339339633
"100",13,92,0.465581025934109
"101",18,92,0.413034521172443
"102",23,92,0.375330938227954
"103",28,92,0.366832913123362
"104",33,92,0.358073351774325
"105",38,92,0.337792375402654
"106",43,92,0.312206555881991
"107",48,92,0.307302389926396
"108",53,92,0.291142133890407
"109",58,92,0.278338874806104
"110",63,92,0.270723749396031
"111",13,102,0.46644758964795
"112",18,102,0.413540551636824
"113",23,102,0.375957485971417
"114",28,102,0.367310603989122
"115",33,102,0.358360239061536
"116",38,102,0.33877975541824
"117",43,102,0.312781759865223
"118",48,102,0.308765154813998
"119",53,102,0.291814546291941
"120",58,102,0.279302724413094
"121",63,102,0.272165385882357
