"Dataset","Accuracy","Accuracy_SD","Silhouette","Silhouette_SD","Elapsed_Time"
"pca_4",56.89,1.63,0.308,0.0057,11.0872
"pca_10",76.79,1.84,0.3332,0.0057,18.119
"pca_30",78.82,2.11,0.3027,0.006,28.9804
"iso_k16_d22",76.66,1.7,0.3472,0.0049,21.6291
"iso_k21_d22",75.68,1.84,0.3111,0.0038,22.5984
"iso_k26_d22",74,1.79,0.2907,0.0041,23.869
"lle_k15_d2",30.01,0.63,0.5526,0.0069,5.5686
"lle_k15_d12",62.31,1.88,0.4406,0.0082,17.7254
"lle_k25_d22",66.04,2.13,0.3832,0.0071,32.2969
"lle_k35_d32",74.17,2.1,0.3827,0.0056,52.4075
"lle_k45_d42",77.95,1.85,0.3779,0.0063,67.8316
